Record ID,Store Name,Store Street Address,Additonal Address,City,State,Zip Code,Zip4,County,Store Type,Latitude,Longitude,Incentive Program,Grantee Name,x,y
1619523,Mayta's Market International ,23311B Pacific Hwy S,,Kent,WA,98032,2704,KING,Grocery Store,47.392399,-122.29671,,,-13614007.482892647,6006360.438823846
992426,7-Eleven 14392b 14392b,9 Nickerson St,,Seattle,WA,98109,1619,KING,Convenience Store,47.649216,-122.3573,,,-13620752.330839813,6048694.0236418415
1633036,Wedgmart,6256 35th Ave NE,,Seattle,WA,98115,7315,KING,Convenience Store,47.675564,-122.28986,,,-13613244.944380714,6053048.968381137
1416254,7-eleven #38597a,22422 83rd Ave S,,Kent,WA,98032,1989,KING,Convenience Store,47.400726,-122.2293,,,-13606503.436018271,6007729.813673207
1640684,Rocket 5494 5494,11848 NE 85th St,,Kirkland,WA,98033,8041,KING,Convenience Store,47.679569,-122.18116,,,-13601144.515731486,6053711.129675636
1638050,TRADER JOE'S SEATTLE (GREENWOOD) 273,8726 Greenwood Ave N,,Seattle,WA,98103,3616,KING,Supermarket,47.692921,-122.35507,,,-13620504.088375343,6055919.031940766
250387,Safeway 459,20830 108th Ave SE,,Kent,WA,98031,2168,KING,Supermarket,47.414768,-122.19701,,Washington State Department of Health ,-13602908.92966056,6010039.510378498
250819,7-ELEVEN 14438 G,11065 8th Ave S,,Seattle,WA,98168,1507,KING,Convenience Store,47.5033,-122.32318,,,-13616954.109813945,6024615.889637424
253560,Walgreens 06901,28817 Military Rd S,,Federal Way,WA,98003,7912,KING,Other,47.34309,-122.30123,,,-13614510.646991033,5998256.006097614
271306,FRED MEYER 459,365 Renton Center Way SW,,Renton,WA,98057,2324,KING,Super Store,47.47752,-122.21928,,,-13605388.014720526,6020368.79952674
270050,University District Farmers Market,5031 University Way NE,,Seattle,WA,98105,4341,KING,Farmers and Markets,47.666321,-122.3131,,Washington State Department of Health ,-13615832.009346751,6051520.983363386
